iter	Passed	Remaining
0	32	32435
1	66	33192
2	105	35077
3	145	36338
4	215	42936
5	266	44197
6	334	47501
7	377	46748
8	424	46727
9	436	43216
10	469	42253
11	507	41785
12	541	41087
13	579	40834
14	615	40399
15	647	39833
16	693	40104
17	749	40910
18	790	40830
19	830	40700
20	879	41014
21	930	41360
22	964	40954
23	1022	41563
24	1070	41766
25	1099	41182
26	1135	40935
27	1177	40881
28	1216	40726
29	1248	40362
30	1306	40832
31	1345	40704
32	1381	40469
33	1425	40493
34	1455	40130
35	1470	39379
36	1506	39203
37	1541	39011
38	1574	38795
39	1605	38536
40	1641	38386
41	1680	38335
42	1719	38275
43	1759	38235
44	1833	38914
45	1873	38844
46	1897	38478
47	1922	38124
48	1958	38007
49	1980	37637
50	2019	37582
51	2055	37466
52	2078	37143
53	2117	37092
54	2152	36982
55	2171	36598
56	2184	36141
57	2221	36072
58	2253	35935
59	2282	35754
60	2305	35487
61	2336	35341
62	2373	35298
63	2403	35151
64	2440	35109
65	2475	35033
66	2519	35089
67	2568	35197
68	2621	35368
69	2682	35641
70	2731	35746
71	2775	35776
72	2812	35708
73	2823	35333
74	2846	35110
75	2880	35025
76	2914	34931
77	2947	34844
78	2965	34571
79	2993	34423
80	3030	34379
81	3063	34299
82	3086	34103
83	3108	33892
84	3140	33805
85	3152	33502
86	3183	33411
87	3219	33361
88	3254	33308
89	3265	33015
90	3300	32965
91	3323	32798
92	3358	32750
93	3391	32689
94	3425	32636
95	3459	32574
96	3494	32532
97	3517	32372
98	3553	32337
99	3587	32284
100	3622	32245
101	3658	32206
102	3695	32183
103	3729	32128
104	3762	32072
105	3798	32035
106	3814	31838
107	3851	31813
108	3887	31775
109	3914	31674
110	3948	31626
111	3987	31617
112	4025	31596
113	4062	31574
114	4102	31570
115	4136	31520
116	4171	31483
117	4205	31435
118	4216	31216
119	4253	31195
120	4303	31262
121	4351	31315
122	4393	31329
123	4431	31306
124	4465	31257
125	4500	31218
126	4535	31178
127	4569	31127
128	4580	30928
129	4614	30881
130	4648	30833
131	4660	30645
132	4693	30594
133	4727	30552
134	4762	30514
135	4796	30470
136	4830	30427
137	4867	30402
138	4897	30335
139	4930	30285
140	4962	30233
141	4996	30192
142	5036	30181
143	5062	30094
144	5103	30092
145	5138	30058
146	5156	29923
147	5198	29925
148	5248	29973
149	5295	30009
150	5359	30131
